                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.55473,                 0.3053,                0.79988,                0.95447,                0.91446,                 0.9627,                0.81582,                0.49557,                0.27462,                0.79429,             0.00044075,             0.00044075,             0.00044075
                     66,                0.55661,                0.30326,                0.80228,                0.95859,                0.91379,                0.96219,                0.81673,                0.48911,                0.27315,                0.79434,               0.000416,               0.000416,               0.000416
                     67,                0.55314,                0.30341,                0.80201,                0.95972,                0.90984,                0.96208,                0.81478,                0.49105,                0.27216,                 0.7943,             0.00039125,             0.00039125,             0.00039125
                     68,                0.55073,                0.30031,                0.79998,                0.95519,                0.91276,                0.96407,                0.82183,                0.48398,                 0.2697,                0.79357,              0.0003665,              0.0003665,              0.0003665
                     69,                0.54267,                0.29792,                0.79868,                0.95749,                0.91293,                0.96423,                0.82045,                0.48466,                0.27037,                 0.7935,             0.00034175,             0.00034175,             0.00034175
                     70,                 0.5466,                0.29884,                0.80149,                0.95816,                0.90967,                0.96477,                0.81941,                0.48815,                0.26991,                0.79472,               0.000317,               0.000317,               0.000317
                     71,                0.54466,                 0.3022,                0.79251,                0.95079,                0.90914,                0.96128,                0.81232,                0.49978,                0.27911,                0.79445,             0.00029225,             0.00029225,             0.00029225
                     72,                0.53941,                0.29626,                0.79382,                0.95447,                0.91482,                0.96415,                0.81274,                0.49843,                0.27482,                0.79501,              0.0002675,              0.0002675,              0.0002675
                     73,                0.53205,                 0.2922,                0.79463,                0.95491,                0.90829,                 0.9627,                0.81572,                 0.4923,                0.27362,                0.79383,             0.00024275,             0.00024275,             0.00024275
                     74,                0.52645,                0.28979,                0.79324,                0.95568,                0.91413,                0.96451,                0.81722,                0.49093,                0.26949,                0.79451,               0.000218,               0.000218,               0.000218
                     75,                0.52711,                0.28697,                0.79304,                0.95289,                0.91413,                 0.9635,                0.81865,                0.48764,                0.26853,                0.79402,             0.00019325,             0.00019325,             0.00019325
                     76,                0.52057,                0.28627,                0.79203,                0.95732,                0.90905,                0.96307,                0.81675,                0.49055,                0.27106,                0.79403,              0.0001685,              0.0001685,              0.0001685
                     77,                0.52025,                0.28506,                0.79222,                0.95717,                0.91276,                0.96477,                0.82145,                 0.4828,                 0.2665,                0.79384,             0.00014375,             0.00014375,             0.00014375
                     78,                0.52117,                0.28324,                0.79107,                0.95624,                 0.9119,                0.96451,                  0.821,                0.48031,                0.26289,                0.79336,               0.000119,               0.000119,               0.000119
                     79,                0.51462,                0.27946,                0.78955,                  0.953,                0.91826,                0.96486,                0.82199,                0.48048,                0.26229,                0.79337,              9.425e-05,              9.425e-05,              9.425e-05
                     80,                0.51301,                0.27841,                 0.7903,                0.95099,                0.91646,                0.96346,                0.82302,                0.47711,                0.26125,                0.79288,               6.95e-05,               6.95e-05,               6.95e-05
